Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056
EASTGARDENS,Botany Bay (C),428,0.0,2124.0,1690.0,3154.0
EASTLAKES,Botany Bay (C),627,9774.0,14614.0,1709.0,2713.0
EASTWOOD,Parramatta (C),1093,3838.0,5523.0,304.0,477.0
EASTWOOD,Ryde (C),1094,15109.0,26795.0,5576.0,9639.0
EBENEZER,Hawkesbury (C),1035,1702.0,1735.0,332.0,436.0
EDENSOR PARK,Fairfield (C),1104,10198.0,14864.0,1172.0,1755.0
EDGECLIFF,Woollahra (A),952,1569.0,1635.0,1632.0,2314.0
EDMONDSON PARK,Liverpool (C),387,2347.0,35335.0,266.0,6663.0
ELANORA HEIGHTS,Northern Beaches (A),371,3538.0,5518.0,731.0,1240.0
ELDERSLIE,Camden (A),498,6151.0,14363.0,837.0,3129.0
ELIZABETH BAY,Sydney (C),1155,4263.0,4550.0,1128.0,1694.0
ELIZABETH HILLS,Liverpool (C),918,2630.0,13730.0,492.0,960.0
ELLIS LANE,Camden (A),164,2090.0,3137.0,45.0,110.0
EMERTON,Blacktown (C),898,2310.0,2861.0,634.0,860.0
EMU HEIGHTS,Penrith (C),711,3371.0,6085.0,285.0,502.0
EMU PLAINS,Penrith (C),713,8623.0,16328.0,4797.0,8099.0
ENFIELD,Burwood (A),1265,2963.0,5574.0,1171.0,1940.0
ENGADINE,Sutherland Shire (A),28,17424.0,23258.0,3880.0,6209.0
ENMORE,Inner West (A),444,4125.0,5625.0,849.0,1469.0
EPPING,Parramatta (C),1091,23432.0,46850.0,5219.0,9735.0
ERMINGTON,Parramatta (C),769,10984.0,17731.0,1544.0,2489.0
ERSKINE PARK,Penrith (C),105,6669.0,12786.0,6688.0,12891.0
ERSKINEVILLE,Sydney (C),835,8617.0,11869.0,2259.0,3121.0
ESCHOL PARK,Campbelltown (C) (NSW),884,2428.0,3929.0,146.0,199.0
EVELEIGH,Sydney (C),618,705.0,6395.0,4290.0,11974.0
FAIRFIELD,Fairfield (C),323,18434.0,31490.0,6368.0,8214.0
FAIRFIELD EAST,Fairfield (C),1148,5004.0,7206.0,4071.0,5404.0
FAIRFIELD HEIGHTS,Fairfield (C),474,7801.0,12302.0,940.0,1614.0
FAIRFIELD WEST,Fairfield (C),308,12001.0,14892.0,1144.0,2015.0
FAIRLIGHT,Northern Beaches (A),701,4412.0,5413.0,554.0,842.0
FAULCONBRIDGE,Blue Mountains (C),628,4115.0,4982.0,600.0,835.0
FIVE DOCK,Canada Bay (A),923,10024.0,19768.0,4828.0,8156.0
FOREST LODGE,Sydney (C),775,3603.0,3770.0,207.0,316.0
FORESTVILLE,Northern Beaches (A),1018,5532.0,6059.0,626.0,991.0
FREEMANS REACH,Hawkesbury (C),213,1450.0,1477.0,508.0,687.0
FRENCHS FOREST,Northern Beaches (A),892,13036.0,24561.0,9241.0,13909.0
FRESHWATER,Northern Beaches (A),1108,3282.0,3562.0,658.0,993.0
GALSTON,Hornsby (A),1273,3239.0,4601.0,1215.0,1865.0
GEORGES HALL,Canterbury-Bankstown (A),460,10739.0,14285.0,1401.0,2097.0
GILEAD,Campbelltown (C) (NSW),828,276.0,9897.0,279.0,674.0
GIRRAWEEN,Cumberland (A),1199,6840.0,9780.0,5486.0,7905.0
GLADESVILLE,Hunters Hill (A),482,2885.0,3809.0,1503.0,2475.0
