"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10019504,0,0,0,7,48,179,448,1874,0,6798,10877,33858
10019505,0,0,0,2,44,162,394,1790,0,5986,10551,21468
10019506,0,0,0,0,27,87,200,384,0,1600,2016,3493
10019507,0,0,0,16,92,330,1742,6217,0,11414,32330,40720
10019508,0,0,0,0,26,90,204,383,0,1118,1958,2839
10019509,0,0,10,56,186,908,2461,9671,0,17128,36211,43222
10019510,0,0,0,30,195,781,2419,9604,0,17088,35657,43680
10019511,0,0,0,21,145,789,2377,9543,0,16767,35647,43806
10019512,0,0,0,35,167,801,2399,9574,0,16822,35861,43865
10019513,0,0,0,7,59,281,1563,3252,0,10866,18474,38416
10019514,0,0,0,17,102,305,1662,5908,0,11185,21165,39546
10019515,0,0,0,36,194,814,2444,9637,0,17149,35752,43391
10019516,0,0,0,15,110,416,2106,8106,0,13106,21840,42590
10019517,0,0,0,18,128,838,2305,9384,0,16646,35476,43931
10019518,0,0,10,51,197,899,2416,9627,0,16778,35691,42888
10019519,0,0,6,63,193,783,2420,9624,0,16803,35519,42891
10019520,0,0,0,0,21,85,214,411,0,1138,1985,3453
10019521,0,0,0,1,22,80,216,377,0,610,2163,2704
10019522,0,24,80,164,349,1168,2770,9871,0,16829,35824,43193
10019523,0,10,54,144,333,1040,2730,9840,0,16918,35677,43160
10019524,0,0,42,100,259,961,2663,9085,0,16959,35562,42638
10019525,2,26,74,161,366,1147,2821,9915,0,17208,35870,42954
10019526,0,0,0,6,41,100,250,1455,0,1769,3087,3921
10019527,0,0,0,21,132,791,2374,9518,0,16943,35869,43650
10019528,0,0,0,18,101,752,1982,8719,0,16380,35664,43644
10019529,0,0,0,17,111,750,2316,9324,0,16421,35578,44025
10019530,24,70,154,304,560,1249,2823,9778,0,16880,35471,43088
10019531,0,0,0,5,44,106,228,1407,0,1699,3007,3902
10019532,0,0,0,3,37,94,217,527,0,1678,2250,3701
10019533,0,6,42,96,280,1001,2734,9896,0,16751,35583,43418
10019534,0,0,28,98,248,919,2620,9777,0,16714,35471,42978
10019535,10,54,112,250,481,1309,2852,9860,0,17120,36157,43171
10019536,0,2,28,82,239,1022,2586,9777,0,16992,35666,42999
10019537,0,0,4,56,202,828,2486,8984,0,16696,35464,42782
10019538,4,44,104,212,456,1204,2839,9835,0,16776,35792,42957
10019539,0,0,0,20,130,872,2380,9480,0,16688,35584,44238
10019540,0,0,0,3,32,92,263,638,0,1778,2407,3875
10019541,0,0,0,34,171,856,2363,9511,0,16528,35438,43179
10019542,0,0,4,40,183,784,2369,9457,0,16825,35794,43109
10019543,0,4,50,124,255,943,2656,9751,0,16672,35505,43008
10019544,0,0,0,10,72,271,1613,5784,0,11045,19599,39314
10019545,0,0,0,9,48,232,1312,2972,0,10987,18313,37492
10019546,0,0,22,94,222,935,2512,9693,0,16858,35539,42898
10019547,4,40,104,192,408,1162,2776,9728,0,16863,35551,42855
10019548,0,0,0,26,171,764,2325,9421,0,16720,35470,43806
10019549,0,0,20,96,225,893,2585,9694,0,16685,35504,43045
10019550,0,15,51,119,189,314,516,802,0,1054,1274,1611
10019551,8,18,57,123,210,361,603,874,0,1102,1295,1643
10019552,33,94,195,277,355,425,519,592,1,696,880,2013
10019553,0,22,69,143,217,352,542,845,0,1084,1312,1682
10019554,28,76,151,224,311,397,459,527,0,1533,1944,3012
10019555,8,22,50,103,189,363,602,836,0,1037,1270,1478
10019556,10,18,55,102,190,355,594,835,0,1043,1256,1494
10019557,0,0,0,19,107,573,1780,7491,0,13186,35053,43171
10019558,0,0,0,0,7,59,155,363,0,1147,1957,2808
10019559,0,10,54,138,303,1002,2702,9816,0,16675,35424,42648
10019560,0,8,44,130,273,1085,2679,9824,0,16896,35527,42899
10019561,0,0,10,68,214,839,2513,9646,0,16694,35708,43254
10019562,0,14,66,145,335,1056,2734,9790,0,17070,35448,42622
10019563,0,0,0,2,28,132,395,1713,0,5206,10344,19028
10019564,0,0,0,18,109,768,2309,8642,0,16671,35591,43899
10019565,2,30,94,175,360,1102,2726,9824,0,17075,35643,42746
10019566,0,0,0,3,38,221,1263,2010,0,7909,16835,35267
10019567,0,0,0,4,36,190,892,1899,0,6284,13346,34284
10019568,0,0,14,96,231,869,2536,9738,0,16910,36132,43225
10019569,0,0,8,72,212,791,2470,9655,0,17057,35480,43046
10019570,0,14,70,144,316,998,2699,9080,0,16797,35415,42849
10019571,2,24,84,162,339,1050,2731,9772,0,16682,35424,42869
10019572,0,0,0,19,146,746,2319,8723,0,16569,35428,43013
