"MB_ID","JobsA10","JobsA15","JobsA20","JobsA25","JobsA30","JobsA35","JobsA40","JobsA45","JobsA5_","JobsA50","JobsA55","JobsA60"
10019585,2900,31032,127325,270245,438684,708072,1027227,1567267,492,1976432,2378447,3369961
10019586,2800,27063,123680,258853,434873,696351,1008269,1535197,479,1958728,2354982,3306229
10019587,3642,40285,143737,292337,459116,747215,1111180,1626192,610,2012335,2441181,3521209
10019588,4464,42272,145468,296157,463975,758824,1118061,1635240,655,2022982,2450929,3566454
10019589,34838,135648,280964,473546,762622,1315057,1744130,2098472,10310,2800007,3826603,4058664
10019592,46273,178283,318996,531596,843641,1416616,1828075,2187317,11624,3110904,3892167,4095594
10019593,48293,182187,322652,545761,860763,1431369,1838325,2216508,12158,3137309,3898387,4098856
10019594,23852,129848,258967,414322,687258,1116829,1631608,1990207,9736,2464822,3615322,3993245
10019595,40033,143911,290418,464386,755594,1266881,1722742,2054169,8542,2705357,3786495,4044639
10019596,3193,38581,142002,287502,454239,735335,1093739,1620022,579,2005149,2427866,3469380
10019597,3008,34829,138263,276903,445723,723796,1057049,1597178,500,1990845,2402763,3421628
10019598,3178,38711,141855,287983,454255,734333,1093860,1616741,551,2005428,2427511,3469258
10019599,2874,30974,127327,269608,438764,707666,1027043,1567528,454,1976520,2378391,3369962
10019600,2952,32762,129024,273175,442014,718559,1042548,1579686,481,1982909,2390769,3403830
10019602,45665,159557,318515,524375,808836,1369733,1786068,2154348,8897,2919138,3867587,4079864
10019604,3089,36643,140029,282467,449051,728498,1078244,1609231,535,1997776,2413783,3448030
10019606,2910,31121,127552,273098,439385,708613,1027506,1568517,540,1976669,2378695,3370216
10019607,2756,28474,125250,267005,437692,704334,1023149,1557602,550,1968964,2370828,3362245
10019608,2777,27171,124023,260700,435393,696921,1008913,1535441,544,1958877,2355080,3306353
10019609,2828,29336,125396,270961,436887,703906,1015394,1551069,530,1966472,2366921,3337556
10019610,3010,34906,138227,276890,445686,723705,1055677,1597155,558,1990668,2402565,3421610
10019611,2890,31121,127552,273098,439385,708613,1027506,1568517,537,1976669,2378695,3370216
10019612,2955,32844,129118,274669,442317,718501,1042758,1579752,542,1982838,2390867,3403847
10019613,2717,25678,130103,267583,432411,695919,1034605,1579818,602,1965096,2367514,3392572
10019614,2747,26126,130283,269214,432660,697930,1049309,1587260,622,1968817,2376773,3413874
10019615,2731,26715,123824,266036,434870,698193,1011312,1547805,553,1961995,2352556,3331010
10019616,2673,26130,122829,266330,430340,698124,1028873,1567181,575,1963795,2365305,3379668
10019617,7446,37827,155021,302131,498090,773241,1301008,1734325,432,2083056,2733246,3800378
10019618,7830,43999,157243,315674,504452,784364,1317553,1748240,433,2104209,2767265,3819592
10019619,2850,29336,125396,270961,436887,703906,1015394,1551069,533,1966472,2366921,3337556
10019620,2721,26385,122765,266740,434204,697418,1019220,1559239,560,1963275,2358561,3347277
10019621,3549,35763,140545,285795,455060,730354,1100288,1619716,495,2007261,2436098,3543472
10019622,3049,36302,139801,282406,450350,728878,1084588,1613768,571,2000979,2418949,3462042
10019623,2753,26625,123824,266036,434870,698193,1011312,1547805,550,1961995,2352556,3331010
10019624,3188,38641,142002,287501,454239,735326,1093709,1616360,603,2005149,2427866,3469380
10019625,3113,36704,140009,282412,449049,728406,1078037,1609189,580,1997573,2413548,3448009
10019626,2801,27171,124023,260700,435393,696921,1008913,1535441,547,1958877,2355080,3306353
10019627,3026,34906,138227,276890,445686,723705,1055677,1597155,558,1990668,2402565,3421610
10019628,2699,26086,122829,266330,430340,698124,1028873,1567181,572,1963795,2365305,3379668
10019629,2781,26625,123824,266136,434870,698193,1011312,1547805,550,1961995,2352556,3331010
10019630,2734,26385,122765,266740,434204,697418,1019220,1559239,560,1963275,2358561,3347277
10019631,4747,45198,148609,306015,480167,771759,1171051,1668426,659,2039141,2513422,3637066
10019632,2899,32623,136218,274995,443512,714658,1047944,1590423,546,1985082,2395299,3415846
10019633,2836,30714,126737,272998,440218,708772,1038233,1571836,537,1974069,2384558,3398205
10019634,2730,25661,130103,267583,432411,695919,1034605,1579818,599,1965096,2367514,3392572
10019635,2716,26394,122658,267013,432893,697755,1019750,1563543,570,1963258,2360741,3358181
10019636,14474,56902,207671,340303,600769,919730,1493864,1891955,172,2282699,3295718,3926418
10019637,14287,60073,209042,345669,609621,914485,1487028,1888375,147,2276048,3275095,3923035
10019638,15766,60541,213383,349288,618976,940601,1519896,1901384,114,2298984,3339788,3931222
10019639,12445,54052,191895,334792,588131,887648,1451980,1854568,197,2247339,3193512,3905149
10019640,8216,47444,173818,314860,529424,802556,1363592,1779097,281,2139082,2867441,3860281
10019641,13162,55498,198679,339019,596329,899625,1462711,1866389,203,2261400,3220860,3910447
10019642,13666,55505,204597,337070,595206,904259,1481886,1882686,164,2271134,3267439,3919347
10019643,7794,46253,159885,311119,520050,793737,1354727,1769812,302,2131076,2846067,3848832
10019644,11637,52986,188020,330654,578248,872391,1442735,1843718,190,2224279,3146396,3900122
10019645,12141,52787,189967,331874,578305,886043,1449812,1853885,147,2247057,3188741,3905149
10019646,6858,36031,150640,292697,487533,769333,1300203,1741366,359,2085368,2747705,3805697
10019647,7282,37134,153032,307439,493074,780014,1322349,1754172,328,2106192,2784172,3822679
10019648,7347,42354,157056,309260,512165,788236,1334495,1761076,333,2115301,2827784,3838871
10019649,3993,35360,140213,285785,456945,729188,1108084,1629308,494,2006366,2453793,3574440
10019650,3889,34691,140780,281589,459078,731621,1135143,1630811,464,2008705,2460243,3596059
10019651,2743,29739,133548,268323,441260,709527,1059499,1591969,513,1979730,2389576,3432039
10019652,3595,35808,140545,285808,455065,730277,1100095,1623252,531,2007317,2435762,3542966
10019653,6993,35946,150221,296659,489154,753283,1251086,1712765,429,2053606,2666145,3763784
10019654,2966,34464,137917,278088,445720,723597,1068074,1603388,553,1992993,2408888,3441808
10019655,3259,33932,137990,280556,448647,723032,1091970,1610510,514,1995740,2422960,3505386
10019656,2811,31668,135595,272279,446028,715446,1073673,1600719,516,1989074,2408621,3455264
10019657,2697,26510,122765,266740,434204,697418,1019220,1559239,563,1963275,2358561,3347277
10019658,8094,48037,161140,321493,531760,793231,1336628,1760001,430,2113548,2818063,3829497
10019659,4699,28486,126322,272441,441400,710764,1174748,1655660,461,2010452,2502368,3655004
10019660,20230,96196,236862,375797,661230,1041260,1585665,1961632,1309,2392910,3544706,3962888
