"MB_CODE16","value"
10022751000,1489420
10022752000,1466380
10022753000,1510162
10022754000,1492510
10022755000,1443569
10022756000,1462524
10022770000,980651
10022790000,1537012
10022800000,1535320
10022810000,1527413
10022820000,1495008
10022830000,1370424
10022840000,1449836
10022850000,1307531
10022860000,1543232
10022870000,1437851
10022880000,1474148
10022890000,830074
10022920000,1136822
10022930000,1219096
10022940000,1296445
10022950000,1391393
10022970000,1071426
10022980000,1572792
10022990000,1470997
10023000000,1464690
10023010000,1521016
10023020000,772929
10023030000,728590
10023050000,1449645
10023060000,840548
10023080000,1520481
10023090000,1507815
10023100000,1059260
10023110000,1227737
10023120000,1214852
10023130000,1040424
10023140000,1218490
10023150000,1120128
10023160000,1090898
10023170000,1212237
10023180000,1512548
10023200000,1512463
10023210000,1387623
10023220000,1515851
10023230000,1433339
10023240000,1558595
10023250000,1474573
10023260000,1569039
10023270000,1550596
10023280000,1161410
10023290000,1012809
10023300000,1060925
10023310000,1088717
10023320000,1395222
10023330000,886489
10023340000,908566
10023350000,775571
10023361000,938233
10023362000,1015795
10023370000,1036103
10023380000,848786
10023390000,1110147
10023400000,772670
10023410000,928602
10023420000,990567
10023430000,1366107
10023440000,1111906
10023450000,864623
10023460000,1553622
10030510000,281913
10031630000,709575
10031640000,726578
10031650000,786636
10031660000,780013
10031670000,816090
10031680000,888745
10031690000,915755
10031700000,1010625
10031710000,866005
10031720000,922303
10031730000,903491
10031740000,879766
10031750000,1121568
10031760000,1178160
10031770000,1162140
10031780000,1254558
10031790000,1385185
10031800000,1323902
10031810000,1171424
10031820000,1086346
10031840000,995780
10031850000,841264
10031860000,886683
10031880000,728027
10031890000,705158
10031900000,703400
10031910000,718280
10031920000,815412
10031940000,1323966
10031950000,1448910
10031960000,1423854
10031970000,1414141
10031980000,1459919
10031990000,1388524
10032000000,1253752
10032010000,1396723
10032020000,1291152
10032030000,1313313
10032040000,1385583
10032050000,1287347
10032060000,1216562
10032070000,1258584
10032080000,1215142
10032120000,1115794
10032130000,1161393
10032140000,1198533
10032150000,1298510
10032160000,1193409
10032180000,1139466
10032190000,990103
10032200000,854037
10032210000,888625
10032220000,993805
10032240000,975104
10032250000,982717
10032260000,1166417
10032270000,949055
10032280000,978256
10032290000,1265837
10032310000,1167447
10032320000,1284937
10032330000,1272941
10032340000,922454
10032350000,962428
10032360000,911843
10032370000,865510
10032380000,858093
10032390000,881506
10032400000,1084800
10032410000,1082465
10032420000,860981
10032430000,832844
10032440000,904930
10032450000,883630
10032460000,892809
10032470000,879634
10032480000,920751
10032490000,941778
10032500000,887693
10032510000,885537
10032521000,901780
10032522000,927692
10032530000,831538
10032560000,818071
10032570000,723666
10032580000,714707
10032590000,760842
10032600000,751668
10032610000,750845
10032620000,782413
10032640000,764652
10032650000,792224
10032660000,753242
10032680000,963827
10032691000,848719
10032692000,838855
10032700000,838027
10032710000,854847
10032720000,727481
10032730000,718177
10032770000,716775
10032780000,701161
10032790000,703516
10032800000,807582
10032810000,809822
10032830000,953487
10032840000,963031
10032850000,953589
10032860000,881495
10032870000,946046
10032890000,1005709
10032900000,1038680
10032910000,1189585
10032920000,1138800
10032930000,1188944
10032942000,1062925
10032951000,1010857
10032952000,998129
10032953000,974115
10032960000,985581
10032971000,1080791
10032972000,995144
10032981000,1008086
10032982000,1040708
10032990000,1504476
10033000000,1389079
10033010000,1431998
10033020000,1453735
10033030000,1461373
10033041000,1261843
10033042000,1343512
10033043000,1324610
10033050000,1313786
10033060000,1368746
10033070000,1304019
10033080000,1395460
10033090000,1258821
10033100000,1136042
10033110000,1310766
10033120000,1181008
10033130000,1143659
10033140000,1300171
10033150000,1257380
10033160000,1100389
10033170000,1170260
10033180000,1201088
10033190000,1071497
10033200000,1071685
10033210000,1127171
10033220000,1309073
10033230000,1339061
10033240000,1297541
10033250000,1205618
10033261000,1137973
10033262000,1181883
10033270000,1130710
10033280000,1103567
10033290000,997860
10033300000,944682
10033310000,1090980
10033320000,1031087
10033330000,1128757
10033340000,1043079
10033350000,1035224
10033360000,1159129
10033370000,1136669
10033380000,965949
10033390000,939339
10033400000,1063175
10033410000,1128764
10033420000,1000588
10033430000,1036034
10033440000,1050104
10033450000,1076653
10033460000,995304
10033470000,955346
10033480000,935705
10033490000,963814
10033500000,1033130
10033510000,1083727
10033520000,1077875
10033530000,957694
10033540000,969366
10033550000,1059341
10033560000,1281819
10033571000,1286008
10033572000,1306524
