Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056,Area,LGA_fid,2016,2036,2041
ELLIS LANE,Camden (A),164,2090.0,3137.0,45.0,110.0,,,,,
EMERTON,Blacktown (C),898,2310.0,2861.0,634.0,860.0,Emerton,Blacktown City,2315.0,2492.0,
EMU HEIGHTS,Penrith (C),711,3371.0,6085.0,285.0,502.0,,,,,
EMU PLAINS,Penrith (C),2852,8623.0,16328.0,4797.0,8099.0,,,,,
ENFIELD,Burwood (A),1265,2963.0,5574.0,1171.0,1940.0,,,,,
ENGADINE,Sutherland Shire (A),168,17424.0,23258.0,3880.0,6209.0,Engadine,Sutherland Shire,17795.0,21780.0,
ENMORE,Inner West (A),1332,4125.0,5625.0,849.0,1469.0,Enmore,Inner West Council area,4125.0,4173.0,
EPPING,Parramatta (C),9819,23432.0,46850.0,5219.0,9735.0,Epping,City of Parramatta,24708.0,,39245.0
ERMINGTON,Parramatta (C),3845,10984.0,17731.0,1544.0,2489.0,,,,,
ERSKINE PARK,Penrith (C),315,6669.0,12786.0,6688.0,12891.0,,,,,
ERSKINEVILLE,Sydney (C),5010,8617.0,11869.0,2259.0,3121.0,,,,,
ESCHOL PARK,Campbelltown (C) (NSW),884,2428.0,3929.0,146.0,199.0,Eschol Park,Campbelltown City,2660.0,2665.0,
EVELEIGH,Sydney (C),3090,705.0,6395.0,4290.0,11974.0,,,,,
FAIRFIELD,Fairfield (C),2584,18434.0,31490.0,6368.0,8214.0,Fairfield,Fairfield City,18601.0,29643.0,
FAIRFIELD EAST,Fairfield (C),3444,5004.0,7206.0,4071.0,5404.0,Fairfield East,Fairfield City,5444.0,6466.0,
FAIRFIELD HEIGHTS,Fairfield (C),948,7801.0,12302.0,940.0,1614.0,Fairfield Heights,Fairfield City,7797.0,9975.0,
FAIRFIELD WEST,Fairfield (C),1232,12001.0,14892.0,1144.0,2015.0,Fairfield West,Fairfield City,11994.0,11996.0,
FAIRLIGHT,Northern Beaches (A),1402,4412.0,5413.0,554.0,842.0,Fairlight,Northern Beaches Council area,6441.0,6932.0,
