tz16_code,tz16_name,lga_code16,lga_name16,gsc_distri,GIC_AreaName,GIC_Precinct_190919,SGS_CoDBC_UrbanType190924,SGS_CoDBC_Precincts190924,ERP_2016,ERP_2056,EMP_2016,EMP_2056,Tz16_Area,PopDensity_2016,PopDensity_2056,EmpDensity_2016,EmpDensity_2056,PopDensity_Diff,EmpDensity_Diff
63.0,Sydney CBD_Parliament House_Sydney Hospital,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,2443.0,3466.0,68780.0528861,0.0,0.0,35519.0189231988,50392.51722791937,0.0,14873.498304720575
64.0,Mrs Macquaries Chair,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,264.0,386.0,143531.902665,0.0,0.0,1839.3123417040574,2689.297590521842,0.0,849.9852488177844
65.0,Sydney CBD_King St Wharf_Southern End,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,544.0,649.0,375.0,581.0,14395.4447873,37789.731962983846,45083.70596319212,26049.907143600994,40359.98946781914,7293.974000208276,14310.082324218147
66.0,Sydney CBD_Slip St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,351.0,495.0,16475.5919441,0.0,0.0,21304.242129260492,30044.444028444283,0.0,8740.20189918379
67.0,Sydney CBD_Lumley House,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,141.0,306.0,4966.0,7642.0,19926.0000993,7076.181837666122,15356.820158339244,249222.120608865,383519.0184641454,8280.638320673123,134296.89785528043
68.0,Sydney CBD_Red Cross House,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,827.0,2521.0,4018.0,14129.8780399,0.0,58528.45988229441,178416.2604150716,284361.9731645211,58528.45988229441,105945.7127494495
69.0,Sydney CBD_AWA Building,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,47.0,70.0,1830.0,2847.0,8170.83463712,5752.166343751419,8567.056256651049,223967.32785244886,348434.4166097934,2814.88991289963,124467.08875734452
70.0,Barrack St and York St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,72.0,117.0,1398.0,2254.0,7780.21181102,9254.246767166185,15038.15099664505,179686.62472914343,289709.33629434137,5783.904229478865,110022.71156519794
71.0,Centenary Square,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,2123.0,3455.0,7520.76043586,0.0,0.0,282285.28459399525,459395.0345135439,0.0,177109.74991954863
72.0,Centenary Square and George,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3.0,5.0,4621.0,6924.0,10913.7609569,274.8823262528315,458.1372104213858,423410.40987144475,634428.4089915351,183.25488416855433,211017.99912009033
73.0,Sydney CBD_No.1 Martin Place,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,38.0,55.0,8894.0,13327.0,24095.533907,1577.0557376593597,2282.5806729280207,369114.0455458512,553090.0477838496,705.524935268661,183976.00223799847
74.0,MLC Centre Sydney,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,7118.0,11275.0,19218.9992433,0.0,0.0,370362.67653121584,586659.0584278532,0.0,216296.38189663732
75.0,Martin Place and Elizabeth St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,3294.0,5105.0,10794.6339633,0.0,0.0,305151.61618254625,472920.1580485424,0.0,167768.54186599614
76.0,Martin Place and Phillip St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,9.0,13.0,1808.0,3085.0,9440.49918476,953.339418166456,1377.0458262404363,191515.29644943916,326783.5672270574,423.70640807398036,135268.27077761825
77.0,Martin Place Station,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,7.0,55.0,3650.0,5895.0,14175.2391976,493.8188274935893,3880.005073163916,257491.24576451443,415865.998296387,3386.186245670327,158374.7525318726
78.0,Star City_Pyrmont Bay Ferry Wharf,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,142.0,204.0,22341.3715589,0.0,0.0,6355.921328537786,9131.04190860358,0.0,2775.1205800657935
