Area,Data type,Year,Number,Unnamed: 4,LGA
Heathcote - Waterfall,Total Population,2034,7234,,Sutherland Shire
Heathcote - Waterfall,Total Population,2035,7247,,Sutherland Shire
Heathcote - Waterfall,Total Population,2036,7292,,Sutherland Shire
Illawong,Total Population,2016,7619,,Sutherland Shire
Illawong,Total Population,2017,7667,,Sutherland Shire
Illawong,Total Population,2018,7628,,Sutherland Shire
Illawong,Total Population,2019,7639,,Sutherland Shire
Illawong,Total Population,2020,7648,,Sutherland Shire
Illawong,Total Population,2021,7658,,Sutherland Shire
Illawong,Total Population,2022,7685,,Sutherland Shire
Illawong,Total Population,2023,7675,,Sutherland Shire
Illawong,Total Population,2024,7683,,Sutherland Shire
Illawong,Total Population,2025,7670,,Sutherland Shire
Illawong,Total Population,2026,7662,,Sutherland Shire
Illawong,Total Population,2027,7655,,Sutherland Shire
Illawong,Total Population,2028,7650,,Sutherland Shire
Illawong,Total Population,2029,7649,,Sutherland Shire
Illawong,Total Population,2030,7653,,Sutherland Shire
Illawong,Total Population,2031,7662,,Sutherland Shire
Illawong,Total Population,2032,7670,,Sutherland Shire
Illawong,Total Population,2033,7675,,Sutherland Shire
Illawong,Total Population,2034,7682,,Sutherland Shire
Illawong,Total Population,2035,7700,,Sutherland Shire
Illawong,Total Population,2036,7704,,Sutherland Shire
Jannali,Total Population,2016,6323,,Sutherland Shire
Jannali,Total Population,2017,6455,,Sutherland Shire
Jannali,Total Population,2018,6527,,Sutherland Shire
Jannali,Total Population,2019,6577,,Sutherland Shire
Jannali,Total Population,2020,6619,,Sutherland Shire
Jannali,Total Population,2021,6661,,Sutherland Shire
Jannali,Total Population,2022,6707,,Sutherland Shire
Jannali,Total Population,2023,6746,,Sutherland Shire
Jannali,Total Population,2024,6797,,Sutherland Shire
Jannali,Total Population,2025,6846,,Sutherland Shire
Jannali,Total Population,2026,6953,,Sutherland Shire
Jannali,Total Population,2027,6997,,Sutherland Shire
Jannali,Total Population,2028,7048,,Sutherland Shire
Jannali,Total Population,2029,7092,,Sutherland Shire
Jannali,Total Population,2030,7131,,Sutherland Shire
Jannali,Total Population,2031,7174,,Sutherland Shire
Jannali,Total Population,2032,7220,,Sutherland Shire
Jannali,Total Population,2033,7266,,Sutherland Shire
Jannali,Total Population,2034,7309,,Sutherland Shire
Jannali,Total Population,2035,7359,,Sutherland Shire
Jannali,Total Population,2036,7417,,Sutherland Shire
Kareela,Total Population,2016,3568,,Sutherland Shire
Kareela,Total Population,2017,3554,,Sutherland Shire
Kareela,Total Population,2018,3546,,Sutherland Shire
Kareela,Total Population,2019,3542,,Sutherland Shire
Kareela,Total Population,2020,3533,,Sutherland Shire
Kareela,Total Population,2021,3517,,Sutherland Shire
Kareela,Total Population,2022,3502,,Sutherland Shire
Kareela,Total Population,2023,3497,,Sutherland Shire
Kareela,Total Population,2024,3485,,Sutherland Shire
Kareela,Total Population,2025,3487,,Sutherland Shire
Kareela,Total Population,2026,3486,,Sutherland Shire
Kareela,Total Population,2027,3476,,Sutherland Shire
Kareela,Total Population,2028,3477,,Sutherland Shire
Kareela,Total Population,2029,3486,,Sutherland Shire
Kareela,Total Population,2030,3498,,Sutherland Shire
Kareela,Total Population,2031,3508,,Sutherland Shire
Kareela,Total Population,2032,3525,,Sutherland Shire
Kareela,Total Population,2033,3538,,Sutherland Shire
Kareela,Total Population,2034,3548,,Sutherland Shire
Kareela,Total Population,2035,3557,,Sutherland Shire
Kareela,Total Population,2036,3567,,Sutherland Shire
Kirrawee,Total Population,2016,9409,,Sutherland Shire
Kirrawee,Total Population,2017,9635,,Sutherland Shire
Kirrawee,Total Population,2018,10072,,Sutherland Shire
Kirrawee,Total Population,2019,10588,,Sutherland Shire
Kirrawee,Total Population,2020,10973,,Sutherland Shire
Kirrawee,Total Population,2021,11404,,Sutherland Shire
Kirrawee,Total Population,2022,11867,,Sutherland Shire
Kirrawee,Total Population,2023,12308,,Sutherland Shire
Kirrawee,Total Population,2024,12670,,Sutherland Shire
Kirrawee,Total Population,2025,12769,,Sutherland Shire
Kirrawee,Total Population,2026,12841,,Sutherland Shire
Kirrawee,Total Population,2027,12922,,Sutherland Shire
Kirrawee,Total Population,2028,13058,,Sutherland Shire
Kirrawee,Total Population,2029,13137,,Sutherland Shire
Kirrawee,Total Population,2030,13212,,Sutherland Shire
Kirrawee,Total Population,2031,13283,,Sutherland Shire
Kirrawee,Total Population,2032,13362,,Sutherland Shire
Kirrawee,Total Population,2033,13440,,Sutherland Shire
Kirrawee,Total Population,2034,13519,,Sutherland Shire
Kirrawee,Total Population,2035,13596,,Sutherland Shire
Kirrawee,Total Population,2036,13680,,Sutherland Shire
Kurnell,Total Population,2016,2371,,Sutherland Shire
Kurnell,Total Population,2017,2374,,Sutherland Shire
Kurnell,Total Population,2018,2356,,Sutherland Shire
Kurnell,Total Population,2019,2345,,Sutherland Shire
Kurnell,Total Population,2020,2339,,Sutherland Shire
Kurnell,Total Population,2021,2334,,Sutherland Shire
Kurnell,Total Population,2022,2309,,Sutherland Shire
Kurnell,Total Population,2023,2301,,Sutherland Shire
Kurnell,Total Population,2024,2308,,Sutherland Shire
Kurnell,Total Population,2025,2310,,Sutherland Shire
Kurnell,Total Population,2026,2309,,Sutherland Shire
Kurnell,Total Population,2027,2302,,Sutherland Shire
Kurnell,Total Population,2028,2297,,Sutherland Shire
Kurnell,Total Population,2029,2289,,Sutherland Shire
Kurnell,Total Population,2030,2296,,Sutherland Shire
Kurnell,Total Population,2031,2298,,Sutherland Shire
Kurnell,Total Population,2032,2301,,Sutherland Shire
Kurnell,Total Population,2033,2304,,Sutherland Shire
Kurnell,Total Population,2034,2312,,Sutherland Shire
Kurnell,Total Population,2035,2323,,Sutherland Shire
Kurnell,Total Population,2036,2339,,Sutherland Shire
Loftus,Total Population,2016,4243,,Sutherland Shire
Loftus,Total Population,2017,4243,,Sutherland Shire
Loftus,Total Population,2018,4221,,Sutherland Shire
Loftus,Total Population,2019,4210,,Sutherland Shire
Loftus,Total Population,2020,4211,,Sutherland Shire
Loftus,Total Population,2021,4206,,Sutherland Shire
Loftus,Total Population,2022,4201,,Sutherland Shire
Loftus,Total Population,2023,4203,,Sutherland Shire
Loftus,Total Population,2024,4210,,Sutherland Shire
Loftus,Total Population,2025,4210,,Sutherland Shire
Loftus,Total Population,2026,4213,,Sutherland Shire
Loftus,Total Population,2027,4221,,Sutherland Shire
