TZ16_CODE,LGA_NAME16,LGA_CODE16,Precinct,Sub-precin,Emp_2016,Emp_2056,LOC_PID,NSW_LOCA_2,LGA_NAME16_2,Split_id,merge_id,Pop_2016,Pop_BuildO,LGA_CODE16_2,TZ16_CODE_2,Precinct_2,Sub-precin_2,Area,layer,path
"409",Botany Bay (C),"11100",OutWSPP,OutWSPP,"14095","18281",,,Botany Bay (C),,,"4","11","11100","409",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"410",Botany Bay (C),"11100",OutWSPP,OutWSPP,"7977","10347",,,Botany Bay (C),,,"99","270","11100","410",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"411",Botany Bay (C),"11100",OutWSPP,OutWSPP,"795","1031",,,Botany Bay (C),,,"6355","17382","11100","411",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"412",Botany Bay (C),"11100",OutWSPP,OutWSPP,"715","1372",,,Botany Bay (C),,,"2913","5739","11100","412",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"413",Botany Bay (C),"11100",OutWSPP,OutWSPP,"256","404",,,Botany Bay (C),,,"3947","5882","11100","413",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"414",Botany Bay (C),"11100",OutWSPP,OutWSPP,"1830","2827",,,Botany Bay (C),,,"2741","6846","11100","414",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"415",Botany Bay (C),"11100",OutWSPP,OutWSPP,"494","902",,,Botany Bay (C),,,"2825","3975","11100","415",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"416",Botany Bay (C),"11100",OutWSPP,OutWSPP,"849","1608",,,Botany Bay (C),,,"2874","6106","11100","416",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"417",Botany Bay (C),"11100",OutWSPP,OutWSPP,"959","1407",,,Botany Bay (C),,,"3002","4757","11100","417",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"418",Botany Bay (C),"11100",OutWSPP,OutWSPP,"127","196",,,Botany Bay (C),,,"844","2109","11100","418",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
