MB_ID,lon,lat,T15,T30,pop,NSW_LOCA_2,W15_value
"10027867",150.7595236000,-33.8815835000,"125","57576","0",BADGERYS CREEK,"84"
"10027868",150.7637672000,-33.8807303000,"77","43565","0",BADGERYS CREEK,"55"
"10027869",150.7625863000,-33.8819715000,"5517","68838","0",BADGERYS CREEK,"70"
"10027870",150.7628340000,-33.8806235000,"90","53822","0",BADGERYS CREEK,"66"
"10027871",150.7582561000,-33.8841628000,"6542","66834","0",BADGERYS CREEK,"322"
"10027872",150.7641043000,-33.8835036000,"5640","65445","0",BADGERYS CREEK,"62"
"10027873",150.7590583000,-33.8842598000,"7530","70728","0",BADGERYS CREEK,"672"
"10027874",150.7572212000,-33.8854039000,"11075","71976","0",BADGERYS CREEK,"4315"
"10027875",150.7630695000,-33.8847448000,"5819","64215","0",BADGERYS CREEK,"67"
"10027876",150.7608747000,-33.8845453000,"10467","93411","0",BADGERYS CREEK,"673"
"10027877",150.7613852000,-33.8818161000,"5949","68437","0",BADGERYS CREEK,"69"
"10027878",150.7603258000,-33.8816805000,"76","53997","0",BADGERYS CREEK,"76"
"10027879",150.7611023000,-33.8833569000,"8312","82079","0",BADGERYS CREEK,"79"
"10027880",150.7598606000,-33.8843568000,"6350","72297","0",BADGERYS CREEK,"72"
"10027881",150.7600932000,-33.8830187000,"6444","71451","0",BADGERYS CREEK,"77"
"10027882",150.7623112000,-33.8834539000,"7331","74537","0",BADGERYS CREEK,"83"
"10027883",150.7654160000,-33.8836003000,"54","41907","0",BADGERYS CREEK,"54"
"10027884",150.7566516000,-33.8839688000,"3519","63867","0",BADGERYS CREEK,"3490"
"10027885",150.7633021000,-33.8834066000,"6108","68602","0",BADGERYS CREEK,"68"
"10027886",150.7552800000,-33.8824362000,"52","37905","0",BADGERYS CREEK,"52"
"10027887",150.7624066000,-33.8762880000,"43","6844","0",BADGERYS CREEK,"43"
"10027888",150.7661053000,-33.8862284000,"68","44896","0",KEMPS CREEK,"68"
"10027890",150.7647704000,-33.8767673000,"49","14111","0",BADGERYS CREEK,"49"
"10027891",150.7676109000,-33.8775692000,"23","2745","0",BADGERYS CREEK,"23"
"10027892",150.8310935000,-33.9009571000,"0","0","0",CECIL PARK,"0"
"10027893",150.7944646000,-33.8926348000,"1291","73389","10",KEMPS CREEK,"566"
"10027894",150.7936622000,-33.8925380000,"1050","53595","10",KEMPS CREEK,"546"
"10027895",150.7616369000,-33.8804604000,"71","41355","0",BADGERYS CREEK,"70"
"10027896",150.7578149000,-33.8772780000,"62","13155","0",BADGERYS CREEK,"62"
"10027897",150.7567801000,-33.8785191000,"48","15122","0",BADGERYS CREEK,"48"
"10027898",150.7559779000,-33.8784221000,"47","15290","0",BADGERYS CREEK,"47"
"10027899",150.7562105000,-33.8770840000,"34","6667","0",BADGERYS CREEK,"34"
"10027900",150.7564432000,-33.8757458000,"34","1245","0",BADGERYS CREEK,"34"
"10027901",150.7572453000,-33.8758428000,"35","7416","0",BADGERYS CREEK,"35"
"10027902",150.7570127000,-33.8771810000,"48","8561","0",BADGERYS CREEK,"48"
"10027903",150.7580912000,-33.8780441000,"30","915","0",BADGERYS CREEK,"30"
"10027904",150.7615460000,-33.8982234000,"14408","84358","0",BADGERYS CREEK,"8079"
"10027905",150.7655083000,-33.8976513000,"4340","59990","0",BADGERYS CREEK,"3809"
"10027906",150.7597562000,-33.8802454000,"80","42907","0",BADGERYS CREEK,"80"
"10027907",150.7631382000,-33.8792682000,"42","35220","0",BADGERYS CREEK,"42"
"10027908",150.7640065000,-33.8793534000,"51","39134","0",BADGERYS CREEK,"51"
"10027909",150.7762432000,-33.8890692000,"7791","80281","10",KEMPS CREEK,"504"
"10027910",150.7903469000,-33.8880393000,"652","29394","10",KEMPS CREEK,"474"
"10027911",150.7895446000,-33.8879425000,"774","46703","10",KEMPS CREEK,"532"
"10027912",150.7861032000,-33.8888934000,"1028","41126","10",KEMPS CREEK,"618"
"10027913",150.7853009000,-33.8887965000,"1167","63346","10",KEMPS CREEK,"472"
"10027914",150.7838124000,-33.8879337000,"1303","41886","10",KEMPS CREEK,"524"
"10027915",150.7844985000,-33.8886997000,"1318","50689","10",KEMPS CREEK,"598"
"10027916",150.7879400000,-33.8877488000,"763","50792","10",KEMPS CREEK,"514"
"10027917",150.7871377000,-33.8876520000,"1123","55882","10",KEMPS CREEK,"500"
